Russian,English
бабушка,grandmother
бежать,run
без,without
белый,white
берег,shore
беседа,conversation
близкий,close
богатый,rich
боец,fighter
бой,the battle
более,more
больной,sick
больше,more
большой,big
борьба,struggle
бояться,afraid
брат,Brother
брать,take
бригада,brigade
бригадир,foreman
бросить,quit
броситься,rush
будто,as if
будущий,future
бумага,paper
бы / б,would/b
бывать,happen
быстро,fast
быть,be
в,V
[edit],[edit]
в / во,in/in
вагон,railway carriage
важный,important
ваш,your
вверх,up
вдруг,all of a sudden
ведь,after all
век,century
великий,great
верить,believe
верно,right
вернуться,return
весело,funny
весёлый,funny
весна,spring
вести,lead
весь,all
ветер,wind
вечер,evening
вечером,In the evening
вещь,thing
взгляд,sight
взглянуть,take a look
взрослый,adult
взять,take
вид,view
видеть,see
видно,it is seen
висеть,hang
власть,power
вместе,together
вместо,instead of
внимание,attention
внимательно,attentively
вода,water
военный,military
возвращаться,come back
воздух,air
возле,near
возможность,opportunity
война,war
войти,to come in
вокруг,around
волна,wave
волос,hair
вон,over there
вообще,at all
вопрос,question
ворота,gates
восемь,eight
воспитание,upbringing
восьмой,eighth
вот,Here
впервые,first
вперёд,forward
впереди,ahead
впечатление,impression
впрочем,however
враг,enemy
время,time
всё,All
всегда,Always
вскоре,soon
вспоминать,recall
вспомнить,recall
встать,stand up
встретить,meet
встретиться,meet
встреча,meeting
всякий,any
второй,second
входить,enter
вчера,yesterday
вы,You
вызвать,call
выйти,go out
выполнение,performance
выполнить,execute
выполнять,fulfill
вырасти,grow up
высокий,high
выставка,exhibition
выступать,protrude
выступить,speak
выходить,go out
г,G
[edit],[edit]
газета,newspaper
где,Where
гектар,hectare
генерал,general
герой,hero
главный,main
глаз,eye
глядеть,look
говорить,speak
год,year
голова,head
голос,voice
голубь,pigeon
гора,mountain
гореть,burn
город,city
городской,urban
горячий,hot
господин,sir
гость,guest
государство,state
готовить,prepare
готовиться,prepare
готовый,ready
громко,loud
грудь,breast
группа,group
губа,lip
д,d
[edit],[edit]
да,Yes
давать,give
давно,for a long time
даже,even
далёкий,far
далеко,far
дальше,further
дать,give
два,two
двадцать,twenty
двенадцать,twelve
дверь,door
двести,two hundred
движение,movement
двор,yard
девочка,girl
девушка,young woman
девятый,ninth
девять,nine
девятьсот,nine hundred
дежурный,duty
действительно,really
делать,do
дело,case
день,day
деньги,money
деревня,village
дерево,tree
держать,hold
десяток,ten
десятый,tenth
десять,ten
деталь,detail
дети,children
детский,children's
директор,director
длинный,long
для,For
до,before
добиться,achieve
добрый,Kind
дождь,rain
доклад,report
доктор,doctor
долго,for a long time
должен,must
дом,house
дома,Houses
домой,home
дорога,road
дорогой,Expensive
доска,board
достать,get it
друг,Friend
другой,another
дружба,friendship
дружина,squad
думать,think
душа,soul
дядя,uncle
е,e
[edit],[edit]
едва,barely
если,If
есть,There is
ехать,drive
ещё,more
ж,and
[edit],[edit]
ждать,wait
же / ж,same/w
железный,iron
жёлтый,yellow
жена,wife
женщина,woman
живой,alive
жизнь,life
жить,live
журнал,magazine
з,h
[edit],[edit]
за,behind
забыть,forget
завод,factory
завтра,Tomorrow
заговорить,speak
задание,exercise
задача,task
зайти,come in
закон,law
закончить,finish
закричать,scream
зал,hall
заметить,notice
замечательный,wonderful
заниматься,study
занятие,class
затем,then
зачем,For what
звать,call for
звонок,call
звук,sound
здание,building
здесь,Here
здравствовать,hello
зелёный,green
земля,Earth
зерно,corn
знакомый,familiar
знание,knowledge
знать,know
значить,to mean
золотой,gold
зуб,tooth
и,And
[edit],[edit]
и,And
игра,a game
играть,play
идти,go
из / изо,from / iso
известный,famous
из-за,because of
из-под,from under
или,or
именно,exactly
иметь,have
имя,Name
иначе,otherwise
инженер,engineer
иногда,Sometimes
иной,other
институт,institute
интерес,interest
интересно,Interesting
интересный,interesting
искать,search
искусство,art
история,story
июль,July
к,To
[edit],[edit]
к / ко,k/ko
кабинет,cabinet
каждый,every
казаться,seem
как,How
какой,Which
камень,stone
капитан,captain
карман,pocket
карта,map
картина,painting
квартира,apartment
килограмм,kilogram
километр,kilometer
кино,movie
класс,Class
клуб,club
книга,book
книжка,book
когда,When
"кое-где, кое-как, кое-какой, кое-когда, кое-кто, кое-что","here and there, somehow, some, some time, some, some"
коллектив,team
колхоз,collective farm
колхозник,collective farmer
колхозный,collective farm
команда,team
командир,commander
комбайн,harvester
комбинат,plant
комитет,Committee
коммунизм,communism
коммунистический,communist
комната,room
комсомол,Komsomol
комсомолец,Komsomol member
комсомольский,Komsomol
конец,end
конечно,Certainly
концерт,concert
корабль,ship
коридор,corridor
корова,cow
короткий,short
костёр,bonfire
который,which
край,edge
красивый,Beautiful
красный,red
крепкий,strong
крепко,tightly
крикнуть,shout
кричать,scream
кровать,bed
кроме,except
кружок,circle
крупный,large
крыша,roof
кто,Who
куда,Where
культура,culture
купить,buy
курс,well
кусок,piece
кухня,kitchen
л,l
[edit],[edit]
лагерь,camp
ладно,OK
лампа,lamp
лёгкий,easy
легко,easily
лёд,ice
лежать,lie
лес,forest
лета,summer
лететь,fly
лето,summer
летом,in summer
ли / ль,whether / l
линия,line
лист,sheet
литература,literature
лицо,face
личный,private
лишь,only
лоб,forehead
лодка,boat
лошадь,horse
луна,moon
лучше,better
лучший,best
любимый,Darling
любить,be in love
любовь,Love
любой,any
люди,People
м,m
[edit],[edit]
маленький,small
мало,few
малый,small
мальчик,boy
мама,Mother
мастер,master
мастерская,workshop
материал,material
матрос,sailor
мать,mother
машина,car
медленно,slowly
между,between
мера,measure
место,place
месяц,month
металл,metal
метр,meter
мечта,dream
мечтать,dream
мешать,interfere
миллион,million
милый,Cute
мимо,by
минута,minute
мир,world
мнение,opinion
многий,many
много,a lot of
можно,Can
мой,my
молодёжь,the youth
молодой,young
молоко,milk
молча,silently
молчать,keep silent
море,sea
морской,nautical
моряк,sailor
московский,Moscow
мочь,be able
муж,husband
музыка,music
мы,We
мысль,thought